Rk,Nk,dNk,dArk,Ark
0,1,0.1,0.6,27.4399313014627
3714.45471,0.9,0.1,6.42611428571429,30.4221458905142
9168.61921,0.8,0.024389704071013,8.68917700226586,33.4216498411142
10000,0.775610295928987,0.05324095445327,11.0426857108166,34.1993828039823
12000,0.722369341475717,0.086610484501464,13.6285706035724,35.9061061993949
15000,0.635758856974253,0.135758856974253,17.0817877115772,38.9410118562907
19221.15044,0.5,0.020546537473528,19.61057522,44.8761784247513
20000,0.479453462526473,0.079453462526473,21.65729262,45.9589126286138
23314.58524,0.4,0.1,26.6961395177237,50.7860322653312
29562.69616,0.3,0.003400479175722,29.78134808,58.8159965145337
30000,0.296599520824278,0.096599520824278,33.91076912,59.1488753981598
37821.53824,0.2,0.08253679055185,43.4118285647607,71.3388202630721
50000,0.117463209448151,0.095045658986415,66.0158888762637,90.962022075587
100000,0.022417550461736,0.01772227278498,131.319377709682,196.728335533413
200000,0.004695277676756,0.002644503889567,239.170952817468,443.613711210324
300000,0.002050773787189,0.000873292455185,342.047062039186,707.245747635341
400000,0.001177481332005,0.000402874541276,444.582168990767,978.099516698117
500000,0.000774606790728,0.000215584695631,546.167942408377,1255.58295641677
600000,0.000559022095097,0.000132085387649,645.926396970286,1529.16609599676
700000,0.0004269367074,0.0000875267708,747.735677901524,1802.42219227074
800000,0.0003394099367,0.0000605658575,848.748202880136,2074.40393114372
900000,0.0002788440792,0.0000449690590,949.272700513406,2340.62041453202
1000000,0.0002338750202,0.0001540440382,1354.46887843464,2608.14619523567
2000000,0.0000798309820,0.0000369910913,2418.80051664355,5027.27610763772
3000000,0.0000428398907,0.0000144937355,3423.19712743363,7279.62449219954
4000000,0.0000283461552,0.0000090553781,4459.92606798867,9251.46291853148
5000000,0.0000192907771,0.0000048226943,5485.68355851064,11500.6816794972
6000000,0.0000144680829,0.0000038478944,6572.36803333333,13505.6810531668
7000000,0.0000106201885,0.0000022830840,7358.48696629213,16017.7509879015
8000000,0.0000083371045,0.0000013339367,8451.78275,18389.0571353726
9000000,0.0000070031678,0.0000070031678,20281.8713040293,20281.8713040293
