Informations générales - Code INSEE de la commune,Nom de la commune,2019,2020,2021
30028,BAGNOLS-SUR-CEZE,0,0,0
30032,BEAUCAIRE,0,0,0
30132,GRAND-COMBE,0,0,0
30189,NIMES,0,0,0
30202,PONT-SAINT-ESPRIT,0,0,0
30258,SAINT-GILLES,0,0,0
30321,SOMMIERES,0,0,0
30341,VAUVERT,0,0,0
31113,CASTANET-TOLOSAN,0,0,0
31116,CASTELGINEST,0,0,0
31149,COLOMIERS,0,0,0
31157,CUGNAUX,0,0,0
31187,FONSORBES,0,0,0
31395,MURET,0,0,0
31424,PLAISANCE-DU-TOUCH,0,0,0
31446,RAMONVILLE-SAINT-AGNE,0,0,0
31451,REVEL,0,0,0
31483,SAINT-GAUDENS,0,0,0
31555,TOULOUSE,0,0,0
32013,AUCH,0,0,0
33003,AMBARES-ET-LAGRAVE,0,0,0
33039,BEGLES,0,0,0
33063,BORDEAUX,1210714,0,0
33119,CENON,0,0,0
33162,EYSINES,0,0,0
33167,FLOIRAC,0,0,0
33199,GUJAN-MESTRAS,236544,0,0
33238,LEOGNAN,79655,0,0
33243,LIBOURNE,0,0,0
33249,LORMONT,0,0,0
33318,PESSAC,0,0,0
33366,SAINT-ANDRE-DE-CUBZAC,0,0,0
33522,TALENCE,0,0,0
33550,VILLENAVE-D'ORNON,236421,0,0
34032,BEZIERS,0,0,0
34057,CASTELNAU-LE-LEZ,122705,0,0
34079,CLERMONT-L'HERAULT,101304,0,0
34108,FRONTIGNAN,0,0,0
34114,GIGNAC,72832,0,0
34123,JUVIGNAC,0,0,0
34142,LODEVE,0,0,0
34145,LUNEL,0,0,0
34150,MARSEILLAN,101874,0,0
34157,MEZE,0,0,0
34172,MONTPELLIER,0,0,0
34301,SETE,0,0,0
34337,VILLENEUVE-LES-MAGUELONE,0,0,0
35024,BETTON,109579,0,0
35047,BRUZ,0,0,0
35055,CHANTEPIE,0,0,0
35115,FOUGERES,0,0,0
35210,PACE,56818,0,0
35236,REDON,79976,0,0
35238,RENNES,0,0,0
35281,SAINT-JACQUES-DE-LA-LANDE,0,0,0
35288,SAINT-MALO,0,752726,0
35360,VITRE,113318,0,0
36044,CHATEAUROUX,0,0,0
36088,ISSOUDUN,0,0,0
37003,AMBOISE,0,0,0
37050,CHAMBRAY-LES-TOURS,0,0,0
37063,CHATEAU-RENAULT,0,0,0
37109,FONDETTES,54754,0,0
37122,JOUE-LES-TOURS,0,0,0
37156,MONTLOUIS-SUR-LOIRE,0,0,0
37195,RICHE,0,0,0
37233,SAINT-PIERRE-DES-CORPS,0,0,0
37261,TOURS,0,0,0
38053,BOURGOIN-JALLIEU,0,0,0
38151,ECHIROLLES,0,0,0
38169,FONTAINE,0,0,0
38185,GRENOBLE,0,0,0
38193,ISLE-D'ABEAU,0,0,0
38298,PEAGE-DE-ROUSSILLON,0,0,0
38317,PONT-DE-CLAIX,0,0,0
38318,PONT-EVEQUE,0,0,0
38421,SAINT-MARTIN-D'HERES,0,0,0
38509,TOUR-DU-PIN,0,0,0
38544,VIENNE,0,0,0
38553,VILLEFONTAINE,0,0,0
38563,VOIRON,0,0,0
39198,DOLE,0,0,0
39300,LONS-LE-SAUNIER,0,0,0
39478,SAINT-CLAUDE,0,589258,0
40088,DAX,0,0,0
40192,MONT-DE-MARSAN,0,0,0
40279,SAINT-PAUL-LES-DAX,0,0,0
40281,SAINT-PIERRE-DU-MONT,0,0,0
40310,SOUSTONS,80696,0,0
41018,BLOIS,0,0,0
41194,ROMORANTIN-LANTHENAY,0,0,0
41269,VENDOME,0,0,0
42005,ANDREZIEUX-BOUTHEON,0,91890,0
42044,CHAMBON-FEUGEROLLES,0,0,0
42095,FIRMINY,0,0,0
42103,GRAND-CROIX,0,0,0
42147,MONTBRISON,0,0,0
42183,RICAMARIE,0,0,0
42184,RIORGES,0,0,0
42186,RIVE-DE-GIER,0,0,0
42187,ROANNE,0,0,0
42189,ROCHE-LA-MOLIERE,216480,0,0
42207,SAINT-CHAMOND,0,0,0
42218,SAINT-ETIENNE,0,0,0
42279,SAINT-JUST-SAINT-RAMBERT,0,137619,0
43157,PUY-EN-VELAY,0,0,0
44003,ANCENIS-SAINT-GEREON,0,0,0
44015,BLAIN,0,0,0
44036,CHATEAUBRIANT,0,0,0
44069,GUERANDE,87612,0,0
44109,NANTES,0,0,0
44129,PONTCHATEAU,0,0,0
44143,REZE,0,0,0
44162,SAINT-HERBLAIN,0,0,0
44184,SAINT-NAZAIRE,0,0,0
45004,AMILLY,0,0,0
45068,CHALETTE-SUR-LOING,0,0,0
45075,CHAPELLE-SAINT-MESMIN,59919,0,0
45147,FLEURY-LES-AUBRAIS,0,0,0
45155,GIEN,0,0,0
45208,MONTARGIS,0,0,0
45234,ORLEANS,0,0,0
45252,PITHIVIERS,0,0,0
45284,SAINT-JEAN-DE-BRAYE,0,0,0
45285,SAINT-JEAN-DE-LA-RUELLE,0,0,0
45302,SARAN,0,0,0
46042,CAHORS,0,0,0
46102,FIGEAC,0,0,0
47001,AGEN,0,0,0
47157,MARMANDE,0,0,0
47323,VILLENEUVE-SUR-LOT,0,0,0
48095,MENDE,0,0,0
49007,ANGERS,0,0,0
49015,AVRILLE,63691,0,0
49018,BAUGE-EN-ANJOU,0,0,0
49023,BEAUPREAU-EN-MAUGES,0,0,0
49050,BRISSAC LOIRE AUBANCE,0,0,0
49069,OREE-D'ANJOU,0,0,0
49092,CHEMILLE-EN-ANJOU,0,0,0
49099,CHOLET,0,0,0
49125,DOUE-EN-ANJOU,0,0,0
49218,MONTREVAULT-SUR-EVRE,0,0,0
49244,MAUGES-SUR-LOIRE,0,0,0
49246,PONTS-DE-CE,0,0,0
49301,SEVREMOINE,0,0,0
49307,LOIRE-AUTHION,662846,589197,515547
49328,SAUMUR,0,0,0
49331,SEGRÉ-EN-ANJOU-BLEU,0,0,0
49353,TRELAZE,0,0,0
49367,ERDRE-EN -ANJOU,0,54311,0
50025,AVRANCHES,0,0,0
50099,CARENTAN-LES-MARAIS,0,0,0
50129,CHERBOURG-EN-COTENTIN,0,0,0
50147,COUTANCES,0,0,0
50218,GRANVILLE,0,0,0
50502,SAINT-LO,0,0,0
51108,CHALONS-EN-CHAMPAGNE,0,0,0
51230,EPERNAY,0,0,0
51250,FISMES,0,0,0
51388,MOURMELON-LE-GRAND,0,0,0
51454,REIMS,0,0,0
51506,SAINT-MEMMIE,0,0,0
51573,TINQUEUX,0,0,0
51649,VITRY-LE-FRANCOIS,0,0,0
52121,CHAUMONT,0,0,0
52448,SAINT-DIZIER,0,0,0
53062,CHÂTEAU-GONTIER-SUR-MAYENNE,0,0,0
53130,LAVAL,0,0,0
53147,MAYENNE,0,0,0
54159,DOMBASLE-SUR-MEURTHE,108036,0,0
54274,JARVILLE-LA-MALGRANGE,0,0,0
54304,LAXOU,0,0,0
54323,LONGWY,0,0,0
54329,LUNEVILLE,0,0,0
54357,MAXEVILLE,0,0,0
54382,MONT-SAINT-MARTIN,0,0,0
54395,NANCY,0,0,0
54431,PONT-A-MOUSSON,0,0,0
54482,SAINT-MAX,0,0,0
54528,TOUL,0,0,0
54547,VANDOEUVRE-LES-NANCY,0,0,0
55029,BAR-LE-DUC,0,0,0
55122,COMMERCY,0,0,0
55545,VERDUN,0,0,0
56007,AURAY,0,0,0
56078,GUIDEL,125517,0,0
56083,HENNEBONT,0,0,0
56098,LANESTER,0,0,0
56121,LORIENT,0,0,0
56165,PLOERMEL,0,0,0
56178,PONTIVY,0,0,0
56206,SAINT-AVE,0,0,0
56260,VANNES,0,0,0
57019,AMNEVILLE,0,0,0
57058,BEHREN-LES-FORBACH,0,0,0
57097,BOULAY-MOSELLE,0,65749,0
57160,CREUTZWALD,0,0,0
57206,FAMECK,0,0,0
57207,FAREBERSVILLER,0,0,0
57221,FLORANGE,0,0,0
57227,FORBACH,0,0,0
57240,FREYMING-MERLEBACH,0,0,0
57306,HAYANGE,0,0,0
57332,HOMBOURG-HAUT,0,0,0
57433,MAIZIERES-LES-METZ,0,0,0
57463,METZ,0,0,0
57480,MONTIGNY-LES-METZ,0,0,0
57537,PETITE-ROSSELLE,0,0,0
57591,ROMBAS,994942,870574,0
57606,SAINT-AVOLD,0,0,0
57630,SARREBOURG,0,0,0
57631,SARREGUEMINES,0,0,0
57660,STIRING-WENDEL,0,0,0
57672,THIONVILLE,0,0,0
57683,UCKANGE,0,0,0
57751,WOIPPY,0,0,0
57757,YUTZ,0,0,0
58086,COSNE-COURS-SUR-LOIRE,0,0,0
58194,NEVERS,0,0,0
59008,ANICHE,0,0,0
59009,VILLENEUVE-D'ASCQ,0,0,0
59011,ANNOEULLIN,0,0,0
59014,ANZIN,0,0,0
59017,ARMENTIERES,0,0,0
59028,AUBY,0,0,0
59032,AULNOY-LEZ-VALENCIENNES,0,0,0
59033,AULNOYE-AYMERIES,0,0,0
59036,AVESNES-SUR-HELPE,343925,286605,229284
59043,BAILLEUL,0,0,0
59051,BASSEE,0,0,0
59052,BAUVIN,62886,0,0
59079,BEUVRAGES,0,0,0
59112,BRUAY-SUR-L'ESCAUT,0,0,0
59122,CAMBRAI,0,0,0
59136,CATEAU-CAMBRESIS,0,0,0
59139,CAUDRY,0,0,0
59152,COMINES,0,0,0
59153,CONDE-SUR-L'ESCAUT,0,0,0
59155,COUDEKERQUE-BRANCHE,0,0,0
59163,CROIX,0,0,0
59170,DECHY,0,0,0
59172,DENAIN,0,0,0
59178,DOUAI,0,0,0
59179,DOUCHY-LES-MINES,0,0,0
59183,DUNKERQUE,0,0,0
59205,ESCAUDAIN,0,0,0
59220,FACHES-THUMESNIL,0,0,0
59227,FENAIN,0,0,0
59230,FERRIERE-LA-GRANDE,0,0,0
59234,FLERS-EN-ESCREBIEUX,0,0,0
59249,FOURMIES,0,0,0
59253,FRESNES-SUR-ESCAUT,0,0,0
59271,GRANDE-SYNTHE,0,0,0
59279,HALLUIN,0,0,0
59286,HAUBOURDIN,0,0,0
59291,HAUTMONT,0,0,0
59295,HAZEBROUCK,0,0,0
59299,HEM,0,0,0
59324,JEUMONT,0,0,0
59327,LALLAING,0,0,0
