Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
38439,CRETS EN BELLEDONNE,0,65910,0
39017,ARLAY,0,27977,0
39018,AROMAS,0,23252,0
39021,LA CHAILLEUSE,17654,19734,0
39130,NANCHEZ,0,34584,0
39177,HAUTEROCHE,0,22379,0
39209,VAL D'EPY,4030,14762,0
39258,GRANDE-RIVIERE CHATEAU,10635,0,0
39273,MONTLAINSIA,0,12230,0
39286,LAVANS-LES-SAINT-CLAUDE,0,52263,0
39290,VALZIN EN PETITE MONTAGNE,22969,19546,0
39331,MIGNOVILLARD,0,26183,0
39368,HAUTS DE BIENNE,0,113458,0
39485,VAL SURAN,4412,27163,0
39491,COTEAUX DU LIZON,0,54034,0
39510,SEPTMONCEL LES MOLUNES,0,32890,0
39530,THOIRETTE-COISIA,0,20620,0
39576,VAL-SONNETTE,0,22683,0
39577,VINCENT-FROIDEVILLE,1484,9527,0
39583,VOSBLES-VALFIN,4486,0,0
40197,MORCENX-LA-NOUVELLE,6697,0,0
40243,RION-DES-LANDES,0,51679,0
41055,VALLOIRE-SUR-CISSE,0,51228,0
41059,LE CONTROIS-EN-SOLOGNE,25568,0,0
41142,VALENCISSE,0,57802,0
41151,MONTRICHARD VAL DE CHER,0,66896,0
41167,VEUZAIN-SUR-LOIRE,0,75841,0
41171,OUCQUES LA NOUVELLE,55501,44588,0
41173,BEAUCE LA ROMAINE,118696,95136,0
42039,CHALMAZEL - JEANSAGNIERE,0,34250,0
43090,ESPLANTAS-VAZEILLES,24641,0,0
43221,SAINT-PRIVAT-D'ALLIER,0,38601,0
43245,THORAS,3708,44538,0
44003,ANCENIS-SAINT-GEREON,0,120475,0
44005,CHAUMES-EN-RETZ,218278,174945,0
44021,VILLENEUVE-EN-RETZ,197427,155905,0
44029,DIVATTE-SUR-LOIRE,179317,153689,0
44087,MACHECOUL-SAINT-MEME,225880,166219,0
44163,VAIR-SUR-LOIRE,0,115225,0
44213,LOIREAUXENCE,258864,211085,0
45051,BRAY-SAINT AIGNAN,0,31617,0
45129,DOUCHY - MONTCORBON,0,59127,0
45191,LE MALESHERBOIS,0,133118,0
46063,CASTELNAU MONTRATIER - SAINTE ALAUZIE,84378,70527,0
46103,SAINT-PAUL-FLAUGNAC,54923,44245,0
46138,COEUR-DE-CAUSSE,0,63689,0
46156,BELLEFONT - LA RAUZE,0,33911,0
46201,MONTCUQ-EN-QUERCY-BLANC,93469,76913,0
46252,LES PECHS DU VERS,3609,0,0
46268,SAINT GÉRY - VERS,0,29714,0
46311,SOUSCEYRAC-EN-QUERCY,36869,0,0
48009,PEYRE EN AUBRAC,0,172899,0
48017,BANASSAC-CANILHAC,0,54393,0
48027,MONT LOZERE ET GOULET,119072,89373,0
48050,BEDOUES-COCURES,0,30341,0
48061,FLORAC TROIS RIVIERES,0,91631,0
48087,PRINSUEJOLS-MALBOUZON,0,42290,0
48094,MASSEGROS CAUSSES GORGES,0,93299,0
48099,BOURGS SUR COLAGNE,0,91618,0
48116,PONT DE MONTVERT - SUD MONT LOZERE,0,70671,0
48127,MONTS-DE-RANDON,3271,0,0
48139,SAINT BONNET-LAVAL,0,27154,0
48146,GORGES DU TARN CAUSSES,0,85188,0
48152,VENTALON EN CEVENNES,0,46018,0
48166,CANS  ET CEVENNES,0,28666,0
49003,TUFFALUN,75935,66617,0
49018,BAUGE-EN-ANJOU,78090,301977,0
49021,BEAUFORT EN ANJOU,0,165891,0
49023,BEAUPREAU-EN-MAUGES,106502,453052,0
49029,BLAISON-SAINT-SULPICE,0,39576,0
49050,BRISSAC LOIRE AUBANCE,20989,286878,0
49069,OREE-D'ANJOU,275133,386830,0
49086,TERRANJOU,0,112588,0
49092,CHEMILLE-EN-ANJOU,19681,476455,0
49125,DOUE-EN-ANJOU,164704,282625,0
49138,LES BOIS D'ANJOU,0,86292,0
49160,INGRANDES-LE FRESNE SUR LOIRE,51937,46605,0
49163,JARZE-VILLAGES,0,74974,0
49167,LES GARENNES SUR LOIRE,126204,99534,0
49176,LE-LION-D'ANGERS,138166,103649,0
49183,VAL-D'ERDRE-AUXENCE,173999,145029,0
49194,MAZE-MILON,0,141381,0
49200,LONGUENEE-EN-ANJOU,164702,137870,0
49218,MONTREVAULT-SUR-EVRE,77874,360472,0
49220,MORANNES-SUR-SARTHE-DAUMERAY,0,94371,0
49228,NOYANT-VILLAGES,240646,182964,0
49244,MAUGES-SUR-LOIRE,126386,399240,0
49248,OMBRÉE D'ANJOU,312111,232036,0
49292,VAL-DU-LAYON,0,87167,0
49301,SEVREMOINE,372950,520474,0
49307,LOIRE-AUTHION,51571,333842,0
49323,VERRIERES-EN-ANJOU,0,129233,0
49331,SEGRÉ-EN-ANJOU-BLEU,0,384619,0
49345,BELLEVIGNE-EN-LAYON,214525,181195,0
49367,ERDRE-EN -ANJOU,207582,167901,0
49373,LYS-HAUT LAYON,277590,244097,0
50025,AVRANCHES,127992,133308,0
50082,BRICQUEBEC-EN-COTENTIN,170674,150690,0
50090,BUAIS-LES-MONTS,21359,0,0
50095,CANISY,52746,45750,0
50099,CARENTAN-LES-MARAIS,156558,184119,0
50115,LE GRIPPON,10838,12179,0
50129,CHERBOURG-EN-COTENTIN,60996,180418,0
50139,CONDE SUR VIRE,0,66753,0
50142,VICQ-SUR-MER,42858,38400,0
50168,DUCEY-LES CHERIS,0,44819,0
50209,GONNEVILLE-LE THEIL,51596,45597,0
50215,GOUVILLE-SUR-MER,0,68871,0
50236,LA HAYE,136027,112207,0
50239,THEREVAL,53949,46361,0
50260,JUVIGNY LES VALLEES,82561,62529,0
50267,LESSAY,6411,53717,0
50273,MONTSENELLE,47970,40674,0
50292,MARIGNY-LE-LOZON,71514,55560,0
50359,MORTAIN-BOCAGE,97968,0,0
50363,MOYON VILLAGES,41107,34924,0
50388,ORVAL SUR SIENNE,35542,32176,0
50391,GRANDPARIGNY,73785,63517,0
50393,PERCY-EN-NORMANDIE,0,66481,0
50400,PICAUVILLE,111589,94430,0
50410,PONTORSON,126976,109479,0
50419,QUETTREVILLE-SUR-SIENNE,0,76289,0
50431,REMILLY LES MARAIS,0,31833,0
50436,ROMAGNY-FONTENAY,0,37632,0
50444,SAINT-AMAND-VILLAGES,0,50993,0
50484,SAINT-HILAIRE-DU-HARCOUET,86257,109402,0
50487,SAINT-JAMES,167208,124294,0
50492,SAINT-JEAN-D'ELLE,73277,60716,0
50535,LE PARC,0,27637,0
50546,BOURGVALLEES,0,80166,0
50564,TERRE-ET-MARAIS,0,35240,0
50565,SARTILLY-BAIE-BOCAGE,91412,71653,0
50582,SOURDEVAL,86770,78914,0
50591,LE TEILLEUL,40107,60392,0
50601,TORIGNY-LES-VILLES,0,82907,0
50639,VILLEDIEU-LES-POELES-ROUFFIGNY,6412,63579,0
51030,AY-CHAMPAGNE,0,90706,0
51075,BOURGOGNE-FRESNE,0,28465,0
51171,CORMICY,33924,41048,0
51564,VAL DE LIVRE,0,13270,0
51612,BLANCS-COTEAUX,6849,0,0
52064,BOURMONT-ENTRE-MEUSE-ET-MOUZON,0,23919,0
52140,COLOMBEY-LES-DEUX-EGLISES,0,16639,0
52331,LA PORTE DU DER,58323,54771,0
52405,LE MONTSAUGEONNAIS,0,33277,0
52411,RIVES DERVOISES,42664,39988,0
52529,VILLEGUSIEN-LE-LAC,30813,26998,0
53017,VAL DU MAINE,6768,18553,0
53062,CHÂTEAU-GONTIER-SUR-MAYENNE,0,65526,0
53137,LOIRON-RUILLE,0,66927,0
53161,MONTSÛRS,0,60318,0
53185,PRE-EN-PAIL-SAINT-SAMSON,0,81471,0
53228,BLANDOUET-SAINT-JEAN,0,17934,0
53255,SAINTE-SUZANNE-ET-CHAMMES,0,34492,0
54099,VAL DE BRIEY,0,123788,0
55150,DEMANGE-BAUDIGNECOURT,14850,0,0
56033,CARENTOIR,0,88282,0
56061,LA GACILLY,0,70381,0
56144,EVELLYS,168120,130958,0
56165,PLOERMEL,0,10870,0
56197,VAL D'OUST,77355,72318,0
56251,THEIX-NOYALO,0,125181,0
57021,ANCY-DORNOT,0,23128,0
57148,COLLIGNY MAIZERY,13135,11504,0
57482,OGY-MONTOY-FLANVILLE,9574,27023,0
58026,BEAULIEU,0,8439,0
58204,VAUX D'AMOGNES,0,19478,0
59260,GHYVELDE,0,80082,0
59588,TETEGHEM-COUDEKERQUE-VILLAGE,0,115085,0
60029,AUNEUIL,0,62224,0
60088,BORNEL,0,86764,0
60209,LA CORNE-EN-VEXIN,8420,0,0
60256,MONTCHEVREUIL,14558,0,0
61007,ATHIS-VAL DE ROUVRE,119623,104640,0
61050,COUR- MAUGIS SUR HUISNE,0,28287,0
61081,CHAILLOUE,5076,28684,0
61096,RIVES D ANDAINE,23506,68048,0
61116,SABLONS SUR HUISNE,73143,58422,0
61145,DOMFRONT EN POIRAIE,14955,86734,0
61153,ECOUCHE LES VALLEES,7425,0,0
61167,LA FERTE-EN-OUCHE,136871,116573,0
61168,FERTE MACE,0,102854,0
61194,MONTS SUR ORNE,13797,0,0
61196,BELFORET EN PERCHE,56926,49248,0
61211,JUVIGNY VAL D ANDAINE,90089,76973,0
61230,LONGNY LES VILLAGES,142694,120814,0
61292,MONTSECRET-CLAIREFOUGERE,0,22190,0
61309,PERCHE EN NOCE,87264,73937,0
61324,PASSAIS VILLAGES,53617,43863,0
61339,PUTANGES-LE-LAC,90250,69677,0
61341,ECOUVES,18711,50805,0
61345,REMALARD EN PERCHE,69439,56654,0
61375,BOISCHAMPRE,0,41345,0
61460,SAP-EN-AUGE,26895,23412,0
61463,LES MONTS D ANDAINE,61922,53862,0
61474,GOUFFERN EN AUGE,125585,104880,0
61483,BAGNOLES DE L ORNE NORMANDIE,0,43400,0
61484,VAL AU PERCHE,4777,69651,0
61486,TINCHEBRAY BOCAGE,152282,120076,0
61491,TOUROUVRE EN PERCHE,121234,106151,0
62295,ENQUIN-LES-GUINEGATTE,47552,43211,0
62471,BELLINGHEM,27596,23018,0
62691,SAINT AUGUSTIN,23028,18755,0
62757,SAINT-MARTIN-LEZ-TATINGHEM,114332,93292,0
63160,AULHAT-FLAT,29612,25927,0
63255,NONETTE-ORSONNETTE,0,14783,0
64225,ANCE FÉAS,0,38636,0
65081,BENQUE-MOLERE,10011,8426,0
65282,LOUDENVIELLE,1160,0,0
65399,SALIGOS,0,4101,0
67004,SOMMERAU,37759,32393,0
67202,HOCHFELDEN,0,56409,0
67372,VAL-DE-MODER,0,75884,0
67495,TRUCHTERSHEIM ,0,65501,0
67539, WINGERSHEIM LES 4 BANS ,0,40728,0
68006,BERNWILLER,0,20520,0
68012,ASPACH-MICHELBACH,0,25267,0
68056,BRUNSTATT-DIDENHEIM,0,104628,0
68143,PORTE DU RIED,0,26752,0
68162,KAYSERSBERG VIGNOBLE,0,64656,0
68201,MASEVAUX-NIEDERBRUCK,0,53606,0
68219,LE-HAUT-SOULTZBACH,0,17477,0
68240,ILLTAL,0,27437,0
68320,SPECHBACH,0,22890,0
69019,BELLEVILLE-EN-BEAUJOLAIS,141623,165192,0
69024,VAL-D'OINGT,129666,0,0
69066,COURS,0,97287,0
69208,SAINT-GERMAIN-NUELLES,0,36375,0
69228,CHABANIÈRE,0,106127,0
69248,THIZY-LES-BOURGS,0,143499,0
69255,VAUGNERAY,0,102015,0
70285,HÉRICOURT,10983,8373,0
70489,SERVANCE-MIELLIN,0,35096,0
71279,LE ROUSSET-MARIZY,0,36910,0
71578,CLUX-VILLENEUVE,0,8366,0
71582,LA VINEUSE SUR FREGANDE,0,22594,0
72023,BALLON-SAINT MARS,70933,60931,0
72025,BAZOUGES CRÉ SUR LOIR,0,59892,0
72071,MONTVAL-SUR-LOIR,18544,114382,0
72137,VILLENEUVE-EN-PERSEIGNE,85166,69297,0
72176,LE LUDE,21847,0,0
72262,LOIR EN VALLÉE,108251,88872,0
72308,SAINT PATERNE-LE CHEVAIN,0,35732,0
72363,TUFFÉ VAL DE LA CHÉRONNE,0,33274,0
73006,AIME LA PLAGNE,0,138302,0
73010,ENTRELACS,0,132699,0
73135,LA-TOUR-EN-MAURIENNE,0,13853,0
73150,LA PLAGNE TARENTAISE,0,139069,0
73187,LA LÉCHÈRE,0,15402,0
73257,LES BELLEVILLE,0,25909,0
73263,SAINT-OFFENGE,0,30053,0
74010,ANNECY,0,140757,0
74123,FAVERGES-SEYTHENEX,0,138480,0
74167,VAL DE CHAISE,0,29957,0
74275,TALLOIRES-MONTMIN,0,36390,0
74282,FILLIÈRE,0,229064,0
76146,BUCHY,0,56960,0
76164,RIVES-EN-SEINE,0,47226,0
76258,TERRES-DE-CAUX,109676,90784,0
76276,FORGES LES EAUX,7394,40792,0
76289,SAINT MARTIN DE L'IF,0,46782,0
76401,ARELAUNE-EN-SEINE,0,55655,0
76476,PORT-JEROME-SUR-SEINE,0,21353,0
77316,MORET-LOING-ET-ORVANNE,0,186191,0
78320,NOTRE-DAME-DE-LA-MER,0,3950,0
78551,SAINT-GERMAIN-EN-LAYE,0,46260,0
79013,ARGENTONNAY,145711,120503,0
79030,BEAUSSAIS-VITRE,45548,35016,0
79063,VAL EN VIGNES,101968,82375,0
79136,ALLOINAY,0,31108,0
79174,MELLE,40525,0,0
79185,AIGONDIGNÉ,0,163153,0
79242,VOULMENTIN,0,37889,0
79280,SAINT MAURICE  ETUSSON,0,42164,0
79329,THOUARS,0,226122,0
80295,ETINEHEM-MERICOURT,21390,17288,0
80625,TROIS-RIVIERES,16318,0,0
81026,BELLEGARDE-MARSAL,0,26010,0
81062,FONTRIEU,0,86605,0
81218,PUYGOUZON,0,60164,0
85008,AUBIGNY-LES CLOUZEAUX,170702,141221,0
85009,AUCHAY-SUR-VENDÉE,0,30833,0
85019,BELLEVIGNY,157940,138824,0
85080,DOIX LÈS FONTAINES,0,43069,0
85084,ESSARTS EN BOCAGE,0,202111,0
85090,SÈVREMONT,216686,180699,0
85146,MONTAIGU-VENDÉE,196983,353274,0
85152,LES ACHARDS,0,91936,0
85154,MOUILLERON-SAINT-GERMAIN,0,53410,0
85197,MONTRÉVERD,134106,110283,0
85213,RIVES DE L'YON,136769,115231,0
86019,BEAUMONT-SAINT-CYR,89827,76561,0
86053,CHAMPIGNY EN ROCHEREAU,0,51258,0
86115,JAUNAY-MARIGNY,38927,138413,0
86281,SAINT-MARTIN-LA-PALLU,0,148047,0
87097,VAL D'ISSOIRE,50915,42713,0
88029,LA VOGE LES BAINS,66522,58017,0
88176,FONTENOY-LE-CHATEAU,0,29507,0
88218,GRANGES-AUMONTZEY,102083,82575,0
88361,PROVENCHÈRES-ET-COLROY,56801,44993,0
88465,CAPAVENIR VOSGES,0,147823,0
88475,TOLLAINCOURT,1313,0,0
89003,MONTHOLON,88267,69957,0
89086,CHARNY OREE DE PUISAYE,0,219608,0
89130,DEUX RIVIERES,0,37401,0
89196,VALRAVILLON,56430,46374,0
89334,LE VAL D'OCRE,24746,20708,0
89388,SEPEAUX - SAINT ROMAIN,0,21929,0
89405,LES HAUTS DE FORTERRE,12180,22840,0
89411,LES VALLEES DE LA VANNE,36749,31126,0
89441,VERMENTON,0,38354,0
