Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
01015,ARBOYS EN BUGEY,0,23825,0
01033,VALSERHÔNE,0,80157,0
01080,CHAMPDOR-CORCELLES,0,24495,0
01095,NIVIGNE ET SURAN,0,26642,0
01187,HAUT VALROMEY,0,50944,0
01204,LE POIZAT-LALLEYRIAT,0,38294,0
01227,MAGNIEU,0,8947,0
01286,PARVES ET NATTAGES,0,29826,0
01338,GROSLÉE-SAINT-BENOIT,0,31856,0
01426,VAL-REVERMONT,0,68173,0
01453,ARVIÈRE-EN-VALROMEY,8924,0,0
02053,VALLÉES EN CHAMPAGNE,0,21705,0
02153,CESSIERES-SUZY,7883,0,0
02439,LES SEPTVALLONS,42793,36812,0
02458,DHUYS ET MORIN-EN-BRIE,0,26393,0
03158,HAUT-BOCAGE,0,35526,0
03168,MEAULNE-VITRAY,0,22178,0
04033,UBAYE-SERRE-PONCON,0,24447,0
05101,VALLOUISE-PELVOUX,0,57732,0
05118,VAL BUËCH-MÉOUGE,0,52497,0
05132,SAINT-BONNET-EN-CHAMPSAUR,0,76773,0
05139,DEVOLUY,130882,111967,0
07262,SAINT-LAURENT-LES-BAINS-LAVAL-D'AURELLE,6719,0,0
08053,BAZEILLES,6692,30823,0
08115,CHEMERY-CHEHERY,0,16792,0
08116,BAIRON ET SES ENVIRONS,33585,29431,0
08145,DOUZY,61549,53523,0
08198,GRANDPRE,0,17217,0
08311,MOUZON,3731,34830,0
08490,VOUZIERS,90875,75797,0
08491,VRIGNE AUX BOIS,9513,58333,0
09062,BORDES-UCHENTEIN,0,14790,0
10003,AIX-VILLEMAUR-PÂLIS,110493,98003,0
11080,VAL DE LAMBRONNE,0,13835,0
11304,QUILLAN,6376,71246,0
11323,ROQUETAILLADE-ET-CONILHAC,0,2127,0
12021,LE BAS SÉGALA,174455,143807,0
12076,CONQUES-EN-ROUERGUE,145065,151144,0
12090,DRUELLE-BALSAC,0,103786,0
12120,LAISSAC-SÉVÉRAC L'EGLISE,0,65023,0
12177,PALMAS D'AVEYRON,61989,50241,0
12224,SAINT GENIEZ D'OLT ET D'AUBRAC ,141353,111183,0
12270,SÉVÉRAC D'AVEYRON,0,204243,0
14005,VALAMBRAY,2890,40888,0
14011,AURSEULLES,67612,54260,0
14014,COLOMBY-ANGUERNY,0,21083,0
14027,LES-MONTS-D'AUNAY,135370,101408,0
14035,BALLEROY-SUR-DROME,0,27767,0
14061,SOULEUVRE EN BOCAGE,0,285073,0
14098,THUE-ET-MUE,132227,111421,0
14126,CAMBREMER,44972,34623,0
14143,CAUMONT-SUR-AURE,69512,55768,0
14174,CONDE-EN-NORMANDIE,162445,142990,0
14200,CREULLY-SUR-SEULLES,58120,42795,0
14281,FORMIGNY-LA-BATAILLE,5903,26629,0
14342,ISIGNY-SUR-MER,112036,84104,0
14347,DIALAN-SUR-CHAINE,0,31924,0
14349,LAIZE-CLINCHAMPS,0,38650,0
14355,PONTS-SUR-SEULLES,36470,28624,0
14357,TERRES DE DRUANCE,0,36541,0
14371,LIVAROT-PAYS-D'AUGE,230060,184018,0
14406,MOULINS-EN-BESSIN,0,28201,0
14410,MERY-BISSIERES-EN-AUGE,27304,24356,0
14431,MEZIDON-VALLEE-D'AUGE,120026,221954,0
14475,VAL D'ARRY,64431,54072,0
14514,PONT-L'EVÊQUE,82462,70119,0
14527,BELLE-VIE-EN-AUGE,0,13994,0
14543,ROTS,8478,39829,0
14570,VALORBIQUET,76942,66691,0
14576,VAL-DE-VIE,0,19146,0
14579,SEULLINE,0,39175,0
14591,AURE SUR MER,0,20018,0
14654,SAINT-PIERRE-EN-AUGE,247242,193089,0
14658,NOUES DE SIENNE,166883,140756,0
14672,VAL-DE-DROME,0,23615,0
14689,LE HOM,117298,90953,0
14712,SALINE,111099,99646,0
14726,VALDALLIERE,0,210083,0
14740,LA VESPIÈRE-FRIARDEL,0,25461,0
14762,VIRE NORMANDIE,77102,152537,0
15108,VAL D'ARCOMIE,0,93788,0
15138,MURAT,0,46533,0
15141,NEUSSARGUES EN PINATELLE,126524,94864,0
15142,NEUVEGLISE-SUR-TRUYERE ,0,108725,0
15181,SAINT CONSTANT - FOURNOULES,0,45670,0
15268,LE ROUGET - PERS,0,49876,0
16023,AUNAC SUR CHARENTE,0,22202,0
16082,BOISNÉ - LA TUDE,0,27664,0
16106,CONFOLENS,0,43567,0
16148,GENAC-BIGNAC,0,35249,0
16175,VAL DES VIGNES,0,48121,0
16192,TERRES-DE-HAUTE-CHARENTE,15326,0,0
16204,BELLEVIGNE,0,49909,0
16224,MONTMERAC,0,24800,0
16230,MONTMOREAU,97195,77490,0
16281,LA ROCHEFOUCAULD-EN-ANGOUMOIS,31073,0,0
16286,ROUILLAC,0,71341,0
17160,FLOIRAC,2241,0,0
17277,ESSOUVERT,54692,44744,0
17295,REAUX SUR TREFLE,0,25846,0
19010,ARGENTAT-SUR-DORDOGNE,0,69770,0
19123,MALEMORT,0,120586,0
19252,SARROUX-SAINT-JULIEN,0,42925,0
21272,LE VAL-LARREY,5069,0,0
21327,VAL-MONT,0,10021,0
22046,LE MENE,0,187510,0
22050,DINAN,0,46415,0
22055,BINIC-ETABLES-SUR-MER,0,147738,0
22084,JUGON-LES-LACS-COMMUNE NOUVELLE ,103095,84500,0
22093,LAMBALLE-ARMOR,80147,110964,0
22107,BON REPOS SUR BLAVET,0,54119,0
22158,GUERLEDAN,0,71495,0
22183,PLÉMET,94556,105357,0
22203,PLOEUC-L'HERMITAGE,0,143831,0
22209,BEAUSSAIS-SUR-MER,121444,96494,0
22251,PORDIC,0,167780,0
23149,PARSAC-RIMONDEIX,37120,30571,0
23192,FURSAC,0,62802,0
24026,BASSILLAC ET AUBEROCHE,0,119226,0
24028,BEAUMONTOIS  EN PERIGORD,0,65573,0
24035,PAYS DE BELVES,0,45465,0
24053,BOULAZAC ISLE MANOIRE,0,219737,0
24064,BRANTOME EN PERIGORD,0,121386,0
24087,CASTELS ET BEZENAC,0,30335,0
24117,LES COTEAUX PERIGOURDINS,0,20225,0
24142,COUX ET BIGAROQUE-MOUZENS,0,48162,0
24147,CUBJAC-AUVEZERE-VAL D'ANS,48550,40526,0
24216,LA JEMAYE-PONTEYRAUD,0,9095,0
24253,MAREUIL EN PERIGORD,0,99677,0
24312,SANILHAC,0,104966,0
24316,PARCOUL-CHENAUD,0,34576,0
24362,VAL DE LOUYRE ET CAUDEAU,82016,71233,0
24376,SAINT AULAYE-PUYMANGOU,4275,47115,0
24490,SAINT PRIVAT EN PERIGORD,53857,44616,0
24534,SIGOULES-ET-FLAUGEAC,12297,28264,0
24540,SORGES ET LIGUEUX EN PERIGORD,0,57730,0
24554,LA TOUR-BLANCHE-CERCLES,0,20001,0
25035,LES AUXONS,0,37136,0
25147,CHEMAUDIN ET VAUX,0,28765,0
25156,PAYS-DE-CLERVAL,0,4356,0
25222,ETALANS,44203,35891,0
25334,LEVIER,72715,59396,0
25424,LES PREMIERS SAPINS,0,75272,0
25434,ORNANS,1984,60721,0
25438,OSSELLE-ROUTELLE,0,17869,0
25529,SANCEY  ,0,44485,0
25575,VAIRE,0,16489,0
26001,SOLAURE EN DIOIS,26860,0,0
26086,CHÂTILLON-EN-DIOIS,36593,0,0
26179,  MERCUROL-VEAUNES,0,44529,0
27011,AMFREVILLE-SAINT-AMAND,25923,29310,0
27022,LE VAL D'HAZEY,0,67386,0
27032,CHAMBOIS,53302,44202,0
27049,MESNIL-EN-OUCHE,236529,197554,0
27062,LES MONTS DU ROUMOIS,55025,42409,0
27085,FLANCOURT-CRESCY-EN-ROUMOIS,0,39758,0
27090,BOSROUMOIS,85711,68140,0
27105,GRAND BOURGTHEROULDE,92435,74954,0
27107,BOURNEVILLE-SAINTE-CROIX,0,33821,0
27112,BRETEUIL,144235,121290,0
27157,MARBOIS,0,47748,0
27191,CLEF VALLÉE D'EURE,0,54883,0
27213,VEXIN-SUR-EPTE,197763,174441,0
27277,LA BARONNIE,21449,19442,0
27294,VAL D'ORGER,0,24746,0
27302,LE BOSC DU THEIL,0,30802,0
27425,NASSANDRES SUR RISLE,0,48154,0
27448,PACY-SUR-EURE,0,82006,0
27467,PONT-AUDEMER,28888,128821,0
27541,LE MESNIL-SAINT-JEAN,4689,0,0
27554,LA CHAPELLE-LONGUEVILLE,0,58644,0
27565,LE LESME,28761,23959,0
27578,SAINTE-MARIE-D'ATTEZ,0,24503,0
27638,LE THUIT DE L'OISON,83146,69730,0
27679,VERNEUIL D'AVRE ET D'ITON,33336,141854,0
27693,SYLVAINS-LÈS-MOULINS,0,39650,0
28012,COMMUNE NOUVELLE D'ARROU,151991,119060,0
28015,AUNEAU-BLEURY-SAINT SYMPHORIEN,0,90336,0
28103,CLOYES LES TROIS RIVIÈRES,203158,153241,0
28185,GOUSSAINVILLE,0,24567,0
28236,ARCISSES,30290,0,0
28254,MITTAINVILLIERS-VERIGNY,0,26473,0
28330,VILLEMAURY,0,45648,0
28383,THEUVILLE,0,16072,0
28406,ÉOLE-EN-BEAUCE,0,76626,0
28422,LES VILLAGES VOVEENS,102058,83790,0
29003,AUDIERNE,98939,78343,0
29021,PLOUNÉOUR-BRIGNOGAN-PLAGES,0,53201,0
29076,MILIZAC-GUIPRONVEL,149256,121759,0
29266,SAINT-THÉGONNEC LOC-EGUINER,0,87418,0
31412,PÉGUILHAN,0,3444,0
31471,SAINT-BEAT-LEZ,2733,0,0
32079,CASTELNAU D'AUZAN LABARRERE,8353,45791,0
33018,VAL DE VIRVEE,0,72105,0
33106,CASTETS-ET-CASTILLON,0,31124,0
33268,MARGAUX-CANTENAC,0,55541,0
35060,LA CHAPELLE DU LOU DU LAC,0,23321,0
35069,CHATEAUGIRON,0,168821,0
35168,VAL D'ANAST,0,97160,0
35176,GUIPRY-MESSAC,242378,202422,0
35184,MONTAUBAN-DE-BRETAGNE,13295,0,0
35257,MAEN ROCH,0,101275,0
36093,LEVROUX,0,68691,0
36202,SAINT-MAUR ,0,57251,0
36229,VAL-FOUZON,0,38197,0
37021,BEAUMONT-LOUESTAULT,59513,0,0
37123,LANGEAIS,0,86463,0
37232,COTEAUX-SUR-LOIRE,0,58249,0
38001,LES ABRETS EN DAUPHINÉ,169176,131004,0
38022,LES AVENIERES VEYRINS-THUELLIN,170674,135970,0
38152,ECLOSE-BADINIERES,0,28592,0
38225,AUTRANS-MEAUDRE EN VERCORS,0,125963,0
38253,LES DEUX-ALPES,0,73872,0
38292,VILLAGES DU LAC DE PALADRU,0,65400,0
38297,ARANDON-PASSINS,0,43549,0
38359,SAINT-ANTOINE-L'ABBAYE,0,57963,0
38407,LA SURE EN CHARTREUSE,0,31164,0
