Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
14014,COLOMBY-ANGUERNY,22889,21083,0
14027,LES-MONTS-D'AUNAY,135370,101408,276334
14035,BALLEROY-SUR-DROME,34025,27767,103696
14037,MALHERBE-SUR-AJON,19687,15114,0
14061,SOULEUVRE EN BOCAGE,333150,285073,121213
14098,THUE-ET-MUE,132227,111421,109399
14126,CAMBREMER,44972,34623,90485
14143,CAUMONT-SUR-AURE,69512,55768,133813
14150,CESNY-LES-SOURCES,45073,35718,0
14174,CONDE-EN-NORMANDIE,162445,142990,174398
14200,CREULLY-SUR-SEULLES,58120,42795,121738
14281,FORMIGNY-LA-BATAILLE,5903,26629,0
14342,ISIGNY-SUR-MER,112036,84104,220607
14347,DIALAN-SUR-CHAINE,38166,31924,0
14349,LAIZE-CLINCHAMPS,49546,38650,0
14355,PONTS-SUR-SEULLES,36470,28624,0
14357,TERRES DE DRUANCE,47711,36541,0
14371,LIVAROT-PAYS-D'AUGE,230060,184018,161026
14406,MOULINS-EN-BESSIN,34948,28201,0
14410,MERY-BISSIERES-EN-AUGE,27304,24356,0
14431,MEZIDON-VALLEE-D'AUGE,120026,221954,371316
14456,MOULT-CHICHEBOVILLE,0,44008,0
14474,NOTRE-DAME-D'ESTREES-CORBON,0,7556,0
14475,VAL D'ARRY,64431,54072,140998
14514,PONT-L'EVÊQUE,82462,70119,234577
14527,BELLE-VIE-EN-AUGE,0,13994,0
14538,CASTINE-EN-PLAINE,0,16558,0
14543,ROTS,8478,39829,0
14554,LE CASTELET,0,21186,0
14570,VALORBIQUET,76942,66691,171522
14576,VAL-DE-VIE,0,19146,0
14579,SEULLINE,47582,39175,0
14591,AURE SUR MER,22735,20018,0
14654,SAINT-PIERRE-EN-AUGE,247242,193089,442043
14658,NOUES DE SIENNE,166883,140756,120818
14672,VAL-DE-DROME,29107,23615,0
14689,LE HOM,117298,90953,207073
14713,MONTILLIERES-SUR-ORNE,21452,16534,0
14726,VALDALLIERE,243661,210083,208619
14740,LA VESPIÈRE-FRIARDEL,0,25461,0
14762,VIRE NORMANDIE,77102,152537,251496
15027,PUYCAPEL,24718,45158,0
15108,VAL D'ARCOMIE,0,93788,92890
15138,MURAT,0,46533,145813
15141,NEUSSARGUES EN PINATELLE,126524,94864,171599
15142,NEUVEGLISE-SUR-TRUYERE ,0,108725,141711
15181,SAINT CONSTANT - FOURNOULES,0,45670,0
15268,LE ROUGET - PERS,0,49876,116218
16005,AIGRE,0,30171,79028
16023,AUNAC SUR CHARENTE,27005,22202,0
16046,COTEAUX-DU-BLANZACAIS,0,26186,52120
16082,BOISNÉ - LA TUDE,32111,27664,0
16106,CONFOLENS,0,43567,155242
